,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,state_code,price_per_product,profit_per_product,loss,discount
107,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,27.992,1,0.2,2.0994,NC,27.992,2.0994,0.0,Discount
109,Standard Class,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992,IL,67.99199999999999,13.598400000000002,0.0,Discount
123,First Class,Consumer,United States,Wilmington,Delaware,East,Technology,Phones,68.04,7,0.0,19.7316,DE,9.72,2.8188,0.0,No Discount
130,First Class,Corporate,United States,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,-11.994,OH,11.994,-2.3988,-11.994,Discount
147,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0.0,103.8015,WI,34.949999999999996,9.4365,0.0,No Discount
148,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0.0,5.9988,WI,49.99,1.9996,0.0,No Discount
152,First Class,Home Office,United States,Scottsdale,Arizona,West,Technology,Phones,203.184,2,0.2,15.2388,AZ,101.592,7.6194,0.0,Discount
159,Standard Class,Consumer,United States,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,0.0,236.2325,OK,134.98999999999998,33.747499999999995,0.0,No Discount
161,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2,0.2,1.3596,PA,27.192,0.6798,0.0,Discount
165,Standard Class,Consumer,United States,San Antonio,Texas,Central,Technology,Machines,8159.952,8,0.4,-1359.992,TX,1019.994,-169.999,-1359.992,Discount
170,Standard Class,Consumer,United States,San Antonio,Texas,Central,Technology,Phones,143.976,3,0.2,8.9985,TX,47.992,2.9995,0.0,Discount
181,Second Class,Corporate,United States,Decatur,Illinois,Central,Technology,Accessories,408.744,7,0.2,76.6395,IL,58.392,10.9485,0.0,Discount
182,Second Class,Home Office,United States,Monroe,Louisiana,South,Technology,Phones,503.96,4,0.0,131.0296,LA,125.99,32.7574,0.0,No Discount
183,Second Class,Home Office,United States,Monroe,Louisiana,South,Technology,Phones,149.95,5,0.0,41.986,LA,29.99,8.3972,0.0,No Discount
184,Second Class,Home Office,United States,Monroe,Louisiana,South,Technology,Accessories,29.0,2,0.0,7.25,LA,14.5,3.625,0.0,No Discount
186,Standard Class,Home Office,United States,Los Angeles,California,West,Technology,Accessories,176.8,8,0.0,22.984,CA,22.1,2.873,0.0,No Discount
190,First Class,Home Office,United States,New York City,New York,East,Technology,Phones,71.76,6,0.0,20.0928,NY,11.96,3.3488,0.0,No Discount
205,Standard Class,Consumer,United States,Whittier,California,West,Technology,Phones,444.768,4,0.2,44.4768,CA,111.192,11.1192,0.0,Discount
207,Standard Class,Consumer,United States,Saginaw,Michigan,Central,Technology,Phones,131.98,2,0.0,35.6346,MI,65.99,17.8173,0.0,No Discount
211,Second Class,Corporate,United States,Dallas,Texas,Central,Technology,Accessories,20.8,2,0.2,6.5,TX,10.4,3.25,0.0,Discount
214,Standard Class,Corporate,United States,Medina,Ohio,East,Technology,Phones,62.982,3,0.4,-14.6958,OH,20.994,-4.8986,-14.6958,Discount
215,Standard Class,Corporate,United States,Medina,Ohio,East,Technology,Machines,1188.0,9,0.7,-950.4,OH,132.0,-105.6,-950.4,Discount
216,Standard Class,Corporate,United States,Medina,Ohio,East,Technology,Accessories,89.584,2,0.2,4.4792,OH,44.792,2.2396,0.0,Discount
218,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,302.376,3,0.2,22.6782,CA,100.79199999999999,7.5594,0.0,Discount
223,First Class,Consumer,United States,Dublin,Ohio,East,Technology,Machines,479.988,4,0.7,-383.9904,OH,119.997,-95.9976,-383.9904,Discount
235,Standard Class,Home Office,United States,Tampa,Florida,South,Technology,Accessories,617.976,3,0.2,-7.7247,FL,205.992,-2.5749,-7.7247,Discount
240,Second Class,Consumer,United States,Chicago,Illinois,Central,Technology,Phones,31.984,2,0.2,11.1944,IL,15.992,5.5972,0.0,Discount
251,Standard Class,Consumer,United States,San Diego,California,West,Technology,Accessories,3347.37,13,0.0,636.0003,CA,257.49,48.923100000000005,0.0,No Discount
257,Standard Class,Corporate,United States,Chicago,Illinois,Central,Technology,Phones,647.904,6,0.2,56.6916,IL,107.984,9.4486,0.0,Discount
258,Second Class,Consumer,United States,New York City,New York,East,Technology,Accessories,20.37,3,0.0,6.9258,NY,6.79,2.3085999999999998,0.0,No Discount
262,Second Class,Corporate,United States,Houston,Texas,Central,Technology,Machines,3059.982,3,0.4,-509.997,TX,1019.994,-169.999,-509.997,Discount
263,Second Class,Corporate,United States,Houston,Texas,Central,Technology,Machines,2519.958,7,0.4,-251.9958,TX,359.994,-35.9994,-251.9958,Discount
264,Standard Class,Consumer,United States,Chicago,Illinois,Central,Technology,Phones,328.224,4,0.2,28.7196,IL,82.056,7.1799,0.0,Discount
265,Standard Class,Consumer,United States,Brentwood,California,West,Technology,Accessories,79.9,2,0.0,35.156,CA,39.95,17.578,0.0,No Discount
271,First Class,Consumer,United States,San Francisco,California,West,Technology,Accessories,209.93,7,0.0,92.3692,CA,29.990000000000002,13.1956,0.0,No Discount
281,Second Class,Consumer,United States,Houston,Texas,Central,Technology,Phones,1114.4,7,0.2,376.11,TX,159.20000000000002,53.730000000000004,0.0,Discount
284,Standard Class,Consumer,United States,Portland,Oregon,West,Technology,Accessories,239.8,5,0.2,47.96,OR,47.96,9.592,0.0,Discount
291,Second Class,Home Office,United States,Columbus,Ohio,East,Technology,Accessories,255.984,2,0.2,54.3966,OH,127.992,27.1983,0.0,Discount
314,Standard Class,Corporate,United States,Saint Petersburg,Florida,South,Technology,Phones,178.384,2,0.2,22.298,FL,89.192,11.149,0.0,Discount
318,Standard Class,Home Office,United States,New York City,New York,East,Technology,Machines,3991.98,2,0.0,1995.99,NY,1995.99,997.995,0.0,No Discount
319,Standard Class,Home Office,United States,New York City,New York,East,Technology,Phones,275.94,6,0.0,80.0226,NY,45.99,13.3371,0.0,No Discount
320,Standard Class,Home Office,United States,New York City,New York,East,Technology,Accessories,360.0,4,0.0,129.6,NY,90.0,32.4,0.0,No Discount
324,Standard Class,Corporate,United States,Hesperia,California,West,Technology,Accessories,99.99,1,0.0,34.9965,CA,99.99,34.9965,0.0,No Discount
326,First Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,290.898,3,0.4,-67.8762,PA,96.96600000000001,-22.6254,-67.8762,Discount
331,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,82.8,2,0.4,-20.7,PA,41.4,-10.35,-20.7,Discount
335,Second Class,Consumer,United States,Los Angeles,California,West,Technology,Copiers,959.984,2,0.2,335.9944,CA,479.992,167.9972,0.0,Discount
343,Second Class,Corporate,United States,Philadelphia,Pennsylvania,East,Technology,Phones,71.928,12,0.4,8.3916,PA,5.994,0.6993,0.0,Discount
345,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Phones,47.976,3,0.2,4.7976,CA,15.991999999999999,1.5992,0.0,Discount
349,First Class,Home Office,United States,New York City,New York,East,Technology,Accessories,6.79,1,0.0,2.3086,NY,6.79,2.3086,0.0,No Discount
373,Standard Class,Consumer,United States,Tucson,Arizona,West,Technology,Accessories,1023.936,8,0.2,179.1888,AZ,127.992,22.3986,0.0,Discount
375,Standard Class,Consumer,United States,Tucson,Arizona,West,Technology,Accessories,479.04,10,0.2,-29.94,AZ,47.904,-2.994,-29.94,Discount
383,Second Class,Corporate,United States,Taylor,Michigan,Central,Technology,Accessories,41.9,2,0.0,8.799,MI,20.95,4.3995,0.0,No Discount
385,Standard Class,Consumer,United States,Pembroke Pines,Florida,South,Technology,Accessories,83.976,3,0.2,-1.0497,FL,27.992,-0.34990000000000004,-1.0497,Discount
386,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,East,Technology,Machines,482.34,4,0.7,-337.638,PA,120.585,-84.4095,-337.638,Discount
390,Standard Class,Consumer,United States,New York City,New York,East,Technology,Accessories,39.98,2,0.0,13.5932,NY,19.99,6.7966,0.0,No Discount
391,Second Class,Consumer,United States,Des Moines,Washington,West,Technology,Phones,246.384,2,0.2,27.7182,WA,123.192,13.8591,0.0,Discount
392,Second Class,Consumer,United States,Des Moines,Washington,West,Technology,Copiers,1799.97,3,0.0,701.9883,WA,599.99,233.99609999999998,0.0,No Discount
401,Second Class,Consumer,United States,Houston,Texas,Central,Technology,Accessories,57.584,2,0.2,0.7198,TX,28.792,0.3599,0.0,Discount
405,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Accessories,179.95,5,0.0,37.7895,CA,35.989999999999995,7.557899999999999,0.0,No Discount
406,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Copiers,1199.976,3,0.2,434.9913,CA,399.992,144.99710000000002,0.0,Discount
421,First Class,Consumer,United States,Louisville,Colorado,West,Technology,Accessories,196.752,6,0.2,56.5662,CO,32.792,9.4277,0.0,Discount
427,First Class,Home Office,United States,New Rochelle,New York,East,Technology,Machines,69.99,1,0.0,30.0957,NY,69.99,30.0957,0.0,No Discount
430,Standard Class,Home Office,United States,Gastonia,North Carolina,South,Technology,Accessories,408.744,7,0.2,76.6395,NC,58.392,10.9485,0.0,Discount
431,Standard Class,Home Office,United States,Gastonia,North Carolina,South,Technology,Accessories,291.96,5,0.2,54.7425,NC,58.391999999999996,10.9485,0.0,Discount
435,Standard Class,Consumer,United States,Jacksonville,Florida,South,Technology,Accessories,247.8,5,0.2,-18.585,FL,49.56,-3.717,-18.585,Discount
436,Second Class,Home Office,United States,Chicago,Illinois,Central,Technology,Machines,1007.979,3,0.3,43.1991,IL,335.993,14.399700000000001,0.0,Discount
452,Second Class,Consumer,United States,Auburn,New York,East,Technology,Phones,35.12,4,0.0,9.1312,NY,8.78,2.2828,0.0,No Discount
455,Standard Class,Corporate,United States,Norman,Oklahoma,Central,Technology,Accessories,63.88,4,0.0,24.9132,OK,15.97,6.2283,0.0,No Discount
460,Standard Class,Consumer,United States,Seattle,Washington,West,Technology,Accessories,899.91,9,0.0,377.9622,WA,99.99,41.9958,0.0,No Discount
473,Second Class,Consumer,United States,San Francisco,California,West,Technology,Phones,703.968,4,0.2,87.996,CA,175.992,21.999,0.0,Discount
477,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Phones,95.76,6,0.2,7.182,CA,15.96,1.197,0.0,Discount
481,Standard Class,Consumer,United States,San Diego,California,West,Technology,Accessories,9.09,3,0.0,1.9089,CA,3.03,0.6363,0.0,No Discount
483,Standard Class,Consumer,United States,New York City,New York,East,Technology,Accessories,159.98,2,0.0,57.5928,NY,79.99,28.7964,0.0,No Discount
486,First Class,Home Office,United States,Los Angeles,California,West,Technology,Phones,279.96,5,0.2,17.4975,CA,55.992,3.4995,0.0,Discount
487,First Class,Consumer,United States,Chicago,Illinois,Central,Technology,Phones,2735.952,6,0.2,341.994,IL,455.992,56.999,0.0,Discount
488,Second Class,Home Office,United States,Huntsville,Texas,Central,Technology,Phones,7.992,1,0.2,0.5994,TX,7.992,0.5994,0.0,Discount
489,Second Class,Home Office,United States,Huntsville,Texas,Central,Technology,Accessories,63.984,2,0.2,10.3974,TX,31.992,5.1987,0.0,Discount
493,Standard Class,Consumer,United States,Seattle,Washington,West,Technology,Accessories,93.98,2,0.0,13.1572,WA,46.99,6.5786,0.0,No Discount
511,First Class,Consumer,United States,Gladstone,Missouri,Central,Technology,Accessories,38.04,2,0.0,12.1728,MO,19.02,6.0864,0.0,No Discount
515,Standard Class,Home Office,United States,Great Falls,Montana,West,Technology,Copiers,2999.95,5,0.0,1379.977,MT,599.99,275.9954,0.0,No Discount
519,Standard Class,Consumer,United States,Houston,Texas,Central,Technology,Accessories,18.392,1,0.2,5.2877,TX,18.392,5.2877,0.0,Discount
523,First Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,55.176,3,0.2,-12.4146,CA,18.392,-4.1382,-12.4146,Discount
524,First Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,66.26,2,0.0,27.1666,CA,33.13,13.5833,0.0,No Discount
533,Second Class,Consumer,United States,Montgomery,Alabama,South,Technology,Phones,979.95,5,0.0,274.386,AL,195.99,54.8772,0.0,No Discount
540,First Class,Consumer,United States,Green Bay,Wisconsin,Central,Technology,Accessories,468.9,6,0.0,206.316,WI,78.14999999999999,34.386,0.0,No Discount
541,First Class,Corporate,United States,Tucson,Arizona,West,Technology,Phones,380.864,8,0.2,38.0864,AZ,47.608,4.7608,0.0,Discount
543,Standard Class,Consumer,United States,Fort Worth,Texas,Central,Technology,Accessories,58.112,2,0.2,7.264,TX,29.056,3.632,0.0,Discount
544,Standard Class,Consumer,United States,Fort Worth,Texas,Central,Technology,Phones,100.792,1,0.2,6.2995,TX,100.792,6.2995,0.0,Discount
565,First Class,Consumer,United States,Los Angeles,California,West,Technology,Phones,374.376,3,0.2,46.797,CA,124.79199999999999,15.598999999999998,0.0,Discount
573,Standard Class,Consumer,United States,New York City,New York,East,Technology,Phones,14.85,3,0.0,4.0095,NY,4.95,1.3365,0.0,No Discount
581,Standard Class,Consumer,United States,Denver,Colorado,West,Technology,Phones,470.376,3,0.2,52.9173,CO,156.792,17.6391,0.0,Discount
582,Standard Class,Consumer,United States,Denver,Colorado,West,Technology,Phones,105.584,2,0.2,9.2386,CO,52.792,4.6193,0.0,Discount
585,Standard Class,Consumer,United States,Denver,Colorado,West,Technology,Phones,406.368,4,0.2,30.4776,CO,101.592,7.6194,0.0,Discount
588,Standard Class,Consumer,United States,Salem,Oregon,West,Technology,Phones,84.784,2,0.2,-20.1362,OR,42.392,-10.0681,-20.1362,Discount
593,Standard Class,Consumer,United States,Laredo,Texas,Central,Technology,Accessories,31.2,3,0.2,9.75,TX,10.4,3.25,0.0,Discount
595,Standard Class,Consumer,United States,San Diego,California,West,Technology,Copiers,1199.976,3,0.2,434.9913,CA,399.992,144.99710000000002,0.0,Discount
596,Standard Class,Consumer,United States,San Diego,California,West,Technology,Phones,445.96,5,0.2,55.745,CA,89.192,11.149,0.0,Discount
599,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,143.982,3,0.4,-28.7964,PA,47.994,-9.598799999999999,-28.7964,Discount
600,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,494.376,4,0.4,-115.3544,PA,123.594,-28.8386,-115.3544,Discount
609,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,55.188,2,0.4,-10.1178,PA,27.594,-5.0589,-10.1178,Discount
610,First Class,Corporate,United States,Dallas,Texas,Central,Technology,Phones,369.576,3,0.2,41.5773,TX,123.19200000000001,13.8591,0.0,Discount
613,Second Class,Corporate,United States,Philadelphia,Pennsylvania,East,Technology,Phones,728.946,9,0.4,-157.9383,PA,80.994,-17.5487,-157.9383,Discount
614,Second Class,Consumer,United States,Grove City,Ohio,East,Technology,Phones,119.94,10,0.4,15.992,OH,11.994,1.5992000000000002,0.0,Discount
619,Second Class,Corporate,United States,New York City,New York,East,Technology,Phones,37.91,1,0.0,10.9939,NY,37.91,10.9939,0.0,No Discount
631,Second Class,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,119.8,5,0.2,29.95,CO,23.96,5.99,0.0,Discount
632,Second Class,Consumer,United States,Aurora,Colorado,West,Technology,Phones,300.768,4,0.2,30.0768,CO,75.192,7.5192,0.0,Discount
633,Second Class,Consumer,United States,Miami,Florida,South,Technology,Accessories,17.88,3,0.2,2.4585,FL,5.96,0.8195,0.0,Discount
643,Standard Class,Consumer,United States,Rochester Hills,Michigan,Central,Technology,Accessories,132.52,4,0.0,54.3332,MI,33.13,13.5833,0.0,No Discount
649,Second Class,Corporate,United States,Vancouver,Washington,West,Technology,Phones,302.376,3,0.2,22.6782,WA,100.79199999999999,7.5594,0.0,Discount
650,Second Class,Corporate,United States,Vancouver,Washington,West,Technology,Accessories,316.0,4,0.0,31.6,WA,79.0,7.9,0.0,No Discount
653,Standard Class,Corporate,United States,New York City,New York,East,Technology,Accessories,103.12,8,0.0,10.312,NY,12.89,1.289,0.0,No Discount
667,Second Class,Corporate,United States,Dallas,Texas,Central,Technology,Phones,381.576,3,0.2,28.6182,TX,127.19200000000001,9.5394,0.0,Discount
675,First Class,Consumer,United States,Columbus,Indiana,Central,Technology,Accessories,99.39,3,0.0,40.7499,IN,33.13,13.5833,0.0,No Discount
677,Standard Class,Consumer,United States,Tyler,Texas,Central,Technology,Accessories,27.816,3,0.2,4.5201,TX,9.272,1.5067000000000002,0.0,Discount
683,Same Day,Corporate,United States,Burlington,North Carolina,South,Technology,Machines,7999.98,4,0.5,-3839.9904,NC,1999.995,-959.9976,-3839.9904,Discount
685,First Class,Consumer,United States,Jackson,Mississippi,South,Technology,Accessories,479.97,3,0.0,163.1898,MS,159.99,54.3966,0.0,No Discount
690,Second Class,Consumer,United States,Waynesboro,Virginia,South,Technology,Phones,284.82,1,0.0,74.0532,VA,284.82,74.0532,0.0,No Discount
692,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,166.24,1,0.0,24.936,CA,166.24,24.936,0.0,No Discount
706,Standard Class,Corporate,United States,Cary,North Carolina,South,Technology,Accessories,15.216,1,0.2,2.2824,NC,15.216,2.2824,0.0,Discount
707,First Class,Consumer,United States,New York City,New York,East,Technology,Accessories,119.96,4,0.0,52.7824,NY,29.99,13.1956,0.0,No Discount
713,Standard Class,Corporate,United States,Mount Vernon,New York,East,Technology,Phones,307.98,2,0.0,89.3142,NY,153.99,44.6571,0.0,No Discount
714,Standard Class,Corporate,United States,Mount Vernon,New York,East,Technology,Accessories,299.97,3,0.0,113.9886,NY,99.99000000000001,37.9962,0.0,No Discount
726,Standard Class,Consumer,United States,Austin,Texas,Central,Technology,Phones,55.992,1,0.2,5.5992,TX,55.992,5.5992,0.0,Discount
733,Standard Class,Home Office,United States,Seattle,Washington,West,Technology,Accessories,179.97,3,0.0,86.3856,WA,59.99,28.795199999999998,0.0,No Discount
738,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Accessories,49.98,2,0.0,8.4966,CA,24.99,4.2483,0.0,No Discount
748,Second Class,Consumer,United States,Evanston,Illinois,Central,Technology,Phones,11.992,1,0.2,0.8994,IL,11.992,0.8994,0.0,Discount
753,First Class,Corporate,United States,San Francisco,California,West,Technology,Copiers,1199.976,3,0.2,374.9925,CA,399.992,124.9975,0.0,Discount
757,Standard Class,Consumer,United States,Cottage Grove,Minnesota,Central,Technology,Accessories,119.8,4,0.0,47.92,MN,29.95,11.98,0.0,No Discount
762,Standard Class,Consumer,United States,Columbus,Ohio,East,Technology,Phones,107.982,3,0.4,-26.9955,OH,35.994,-8.9985,-26.9955,Discount
765,Second Class,Corporate,United States,Bossier City,Louisiana,South,Technology,Accessories,646.74,6,0.0,258.696,LA,107.79,43.11600000000001,0.0,No Discount
771,Standard Class,Corporate,United States,Des Moines,Iowa,Central,Technology,Phones,207.0,3,0.0,51.75,IA,69.0,17.25,0.0,No Discount
782,Second Class,Consumer,United States,Columbus,Ohio,East,Technology,Accessories,24.0,2,0.2,-2.7,OH,12.0,-1.35,-2.7,Discount
784,Second Class,Consumer,United States,Columbus,Ohio,East,Technology,Accessories,47.984,2,0.2,0.5998,OH,23.992,0.2999,0.0,Discount
792,Same Day,Consumer,United States,Asheville,North Carolina,South,Technology,Phones,1363.96,5,0.2,85.2475,NC,272.79200000000003,17.049500000000002,0.0,Discount
801,First Class,Corporate,United States,San Diego,California,West,Technology,Phones,215.968,2,0.2,18.8972,CA,107.984,9.4486,0.0,Discount
806,Standard Class,Consumer,United States,Denver,Colorado,West,Technology,Phones,1983.968,4,0.2,247.996,CO,495.992,61.999,0.0,Discount
808,First Class,Consumer,United States,Omaha,Nebraska,Central,Technology,Accessories,149.97,3,0.0,50.9898,NE,49.99,16.9966,0.0,No Discount
812,First Class,Consumer,United States,Edmonds,Washington,West,Technology,Accessories,25.78,2,0.0,2.578,WA,12.89,1.289,0.0,No Discount
814,Same Day,Consumer,United States,Santa Ana,California,West,Technology,Accessories,1399.93,7,0.0,601.9699,CA,199.99,85.99570000000001,0.0,No Discount
822,Standard Class,Consumer,United States,Belleville,New Jersey,East,Technology,Accessories,239.97,3,0.0,71.991,NJ,79.99,23.997,0.0,No Discount
824,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Accessories,67.8,4,0.0,4.068,CA,16.95,1.017,0.0,No Discount
825,Standard Class,Consumer,United States,San Francisco,California,West,Technology,Accessories,167.97,3,0.0,40.3128,CA,55.99,13.437600000000002,0.0,No Discount
831,Second Class,Consumer,United States,Florence,Kentucky,South,Technology,Phones,191.98,2,0.0,51.8346,KY,95.99,25.9173,0.0,No Discount
832,Second Class,Consumer,United States,Florence,Kentucky,South,Technology,Phones,65.99,1,0.0,17.1574,KY,65.99,17.1574,0.0,No Discount
835,Standard Class,Corporate,United States,Tampa,Florida,South,Technology,Machines,265.475,1,0.5,-111.4995,FL,265.475,-111.4995,-111.4995,Discount
838,Standard Class,Corporate,United States,Fort Worth,Texas,Central,Technology,Phones,21.072,3,0.2,1.5804,TX,7.024,0.5268,0.0,Discount
846,Standard Class,Consumer,United States,Louisville,Kentucky,South,Technology,Phones,83.72,7,0.0,23.4416,KY,11.959999999999999,3.3488,0.0,No Discount
849,Standard Class,Corporate,United States,Linden,New Jersey,East,Technology,Accessories,115.36,7,0.0,49.6048,NJ,16.48,7.086399999999999,0.0,No Discount
862,Second Class,Corporate,United States,Jacksonville,Florida,South,Technology,Accessories,191.472,6,0.2,40.6878,FL,31.912000000000003,6.781300000000001,0.0,Discount
864,Second Class,Corporate,United States,Jacksonville,Florida,South,Technology,Phones,59.184,2,0.2,5.1786,FL,29.592,2.5893,0.0,Discount
870,First Class,Home Office,United States,Philadelphia,Pennsylvania,East,Technology,Phones,280.782,3,0.4,-46.797,PA,93.594,-15.598999999999998,-46.797,Discount
876,Standard Class,Home Office,United States,Concord,New Hampshire,East,Technology,Accessories,29.99,1,0.0,13.1956,NH,29.99,13.1956,0.0,No Discount
877,Standard Class,Home Office,United States,Concord,New Hampshire,East,Technology,Accessories,371.97,3,0.0,66.9546,NH,123.99000000000001,22.3182,0.0,No Discount
889,Standard Class,Consumer,United States,New Rochelle,New York,East,Technology,Accessories,149.95,5,0.0,14.995,NY,29.99,2.9989999999999997,0.0,No Discount
893,First Class,Home Office,United States,Detroit,Michigan,Central,Technology,Phones,543.92,8,0.0,135.98,MI,67.99,16.9975,0.0,No Discount
902,First Class,Consumer,United States,Chicago,Illinois,Central,Technology,Phones,323.976,3,0.2,20.2485,IL,107.992,6.7495,0.0,Discount
907,Standard Class,Consumer,United States,New York City,New York,East,Technology,Phones,90.93,7,0.0,2.7279,NY,12.99,0.3897,0.0,No Discount
909,Standard Class,Home Office,United States,Jackson,Michigan,Central,Technology,Phones,1199.8,4,0.0,323.946,MI,299.95,80.9865,0.0,No Discount
910,Standard Class,Home Office,United States,Jackson,Michigan,Central,Technology,Accessories,1928.78,7,0.0,829.3754,MI,275.54,118.4822,0.0,No Discount
914,First Class,Corporate,United States,Milwaukee,Wisconsin,Central,Technology,Accessories,143.73,9,0.0,56.0547,WI,15.969999999999999,6.2283,0.0,No Discount
921,Standard Class,Consumer,United States,New York City,New York,East,Technology,Accessories,85.14,3,0.0,34.9074,NY,28.38,11.635800000000001,0.0,No Discount
922,Standard Class,Consumer,United States,New York City,New York,East,Technology,Phones,21.99,1,0.0,10.5552,NY,21.99,10.5552,0.0,No Discount
926,First Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,252.0,5,0.2,53.55,PA,50.4,10.709999999999999,0.0,Discount
937,First Class,Corporate,United States,Farmington,New Mexico,West,Technology,Accessories,159.99,1,0.0,54.3966,NM,159.99,54.3966,0.0,No Discount
956,Second Class,Consumer,United States,Phoenix,Arizona,West,Technology,Phones,29.592,1,0.2,2.5893,AZ,29.592,2.5893,0.0,Discount
971,Second Class,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Phones,124.2,3,0.4,-31.05,PA,41.4,-10.35,-31.05,Discount
974,Second Class,Home Office,United States,New York City,New York,East,Technology,Phones,160.93,7,0.0,3.2186,NY,22.990000000000002,0.4598,0.0,No Discount
977,First Class,Corporate,United States,Detroit,Michigan,Central,Technology,Machines,3059.982,2,0.1,679.996,MI,1529.991,339.998,0.0,Discount
982,Second Class,Consumer,United States,Louisville,Colorado,West,Technology,Phones,559.984,2,0.2,55.9984,CO,279.992,27.9992,0.0,Discount
986,Standard Class,Home Office,United States,Pasadena,Texas,Central,Technology,Machines,336.51,3,0.4,44.868,TX,112.17,14.956000000000001,0.0,Discount
995,Standard Class,Corporate,United States,Virginia Beach,Virginia,South,Technology,Phones,617.97,3,0.0,173.0316,VA,205.99,57.6772,0.0,No Discount
